,direction,energy,field,filename,functional,molecule,multiplicity,no_scf_cycles,orbital_threshold,precision,property_threshold,u_norm,u_x,u_y,u_z,walltime
0,non,-100.2849014501131,0,licn_pbe_000.out,pbe,licn,1,21,1e-06,1e-07,-1.0,2.6816630177,2.5057477245,-0.95527215039,-1.1551414651e-08,8324.164
1,x,-467.6125310590193,-0.001,licl_pbe_-0001_x.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,-0.028891766312,5.5899519517e-11,-2.6924055116,6395.442
2,non,-2.892935499206903,0,he_pbe_000.out,pbe,he,1,7,1e-06,1e-07,-1.0,2.2396724162e-12,-1.2687730674e-12,-1.3324896592e-12,-1.277035138e-12,347.6976
3,x,-2.892936291329034,-0.001,he_pbe_-0001_x.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398869,-0.0015842398869,-1.3318508449e-12,-1.2776631823e-12,335.5341
4,y,-2.892936291329035,-0.001,he_pbe_-0001_y.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.001584239887,-1.269765946e-12,-0.001584239887,-1.2775180988e-12,334.6927
5,y,-467.6125310590195,-0.001,licl_pbe_-0001_y.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,-1.0462698227e-11,-0.028891766586,-2.6924055116,6367.974
6,z,-2.892936291329038,-0.001,he_pbe_-0001_z.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398869,-1.2691377374e-12,-1.3320039274e-12,-0.0015842398869,334.23
7,z,-467.6152245503454,-0.001,licl_pbe_-0001_z.out,pbe,licl,1,10,1e-06,1e-07,-1.0,2.7233618601,-1.3102133395e-11,4.0116732621e-12,-2.7233618601,7107.051
8,y,-2.892936291329035,+0.001,he_pbe_+0001_y.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398843,-1.2690912936e-12,0.0015842398843,-1.2775693547e-12,337.3387
9,y,-467.6125310590196,+0.001,licl_pbe_+0001_y.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,-1.3160556961e-11,0.028891766375,-2.6924055116,6386.203
10,x,-467.6125310590195,+0.001,licl_pbe_+0001_x.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,0.02889176628,5.3277918186e-11,-2.6924055116,6334.69
11,non,-128.8664334769105,0,ne_pbe_000.out,pbe,ne,1,9,1e-06,1e-07,-1.0,1.2147359815e-11,-6.8994120087e-12,-7.2075454472e-12,-6.9287627348e-12,1781.499
12,x,-2.892936291329034,+0.001,he_pbe_+0001_x.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398844,0.0015842398844,-1.3318340059e-12,-1.277232315e-12,334.3696
13,z,-2.892936291329032,+0.001,he_pbe_+0001_z.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398844,-1.2693698457e-12,-1.3314727311e-12,0.0015842398844,334.6951
14,z,-467.6098396758036,+0.001,licl_pbe_+0001_z.out,pbe,licl,1,10,1e-06,1e-07,-1.0,2.6613608569,-1.3169661287e-11,1.7094401749e-12,-2.6613608569,7141.96
15,y,-100.2858707740276,-0.001,licn_pbe_-0001_y.out,pbe,licn,1,15,1e-06,1e-07,-1.0,2.6901785742,2.5040107507,-0.9833569654,-6.7947206288e-11,9725.535
16,x,-100.2824099685484,-0.001,licn_pbe_-0001_x.out,pbe,licn,1,14,1e-06,1e-07,-1.0,2.6555827633,2.4771744918,-0.95693591736,-1.9742893215e-11,9023.72
17,z,-100.2849129876539,-0.001,licn_pbe_-0001_z.out,pbe,licn,1,15,1e-06,1e-07,-1.0,2.6817304276,2.5057215535,-0.95525134115,-0.023075050663,9052.247
18,x,-100.2874213899566,+0.001,licn_pbe_+0001_x.out,pbe,licn,1,14,1e-06,1e-07,-1.0,2.7075545999,2.5340947832,-0.95352794454,-2.5721734636e-11,9094.153
19,y,-100.2839602660168,+0.001,licn_pbe_+0001_y.out,pbe,licn,1,15,1e-06,1e-07,-1.0,2.6733223795,2.5074240498,-0.92707992061,-7.041079883e-11,9812.551
20,z,-100.2849129876539,+0.001,licn_pbe_+0001_z.out,pbe,licn,1,15,1e-06,1e-07,-1.0,2.6817304276,2.5057215535,-0.95525134115,0.023075050736,9655.768
21,y,-128.8664350145938,+0.001,ne_pbe_+0001_y.out,pbe,ne,1,5,1e-06,1e-07,-1.0,0.0030751221065,-6.9557978261e-12,0.0030751221065,-7.0524124722e-12,1596.924
22,x,-128.8664350145955,+0.001,ne_pbe_+0001_x.out,pbe,ne,1,5,1e-06,1e-07,-1.0,0.0030751221417,0.0030751221417,-7.1955212175e-12,-6.9270759055e-12,1592.494
23,non,-467.6125165888766,0,licl_pbe_000.out,pbe,licl,1,16,1e-06,1e-07,-1.0,2.6924758499,2.3334710397e-10,9.7118192666e-09,-2.6924758499,7438.031
24,z,-128.8664350145896,+0.001,ne_pbe_+0001_z.out,pbe,ne,1,5,1e-06,1e-07,-1.0,0.003075122144,-6.903855513e-12,-7.2173296761e-12,0.003075122144,1589.841
25,x,-128.8664350145955,-0.001,ne_pbe_-0001_x.out,pbe,ne,1,5,1e-06,1e-07,-1.0,0.0030751221554,-0.0030751221554,-7.298252263e-12,-6.9350230334e-12,1596.274
26,y,-128.8664350145942,-0.001,ne_pbe_-0001_y.out,pbe,ne,1,5,1e-06,1e-07,-1.0,0.0030751221226,-6.6894730469e-12,-0.0030751221226,-6.9401383334e-12,1620.299
27,z,-128.8664350145895,-0.001,ne_pbe_-0001_z.out,pbe,ne,1,5,1e-06,1e-07,-1.0,0.003075122158,-6.897609467e-12,-7.1989688117e-12,-0.003075122158,1592.152
