AlF;5.983;5.983;5.144
Ar;1.635;1.635;1.635
Be;5.630;5.630;5.630
BeH;5.395;5.395;3.828
BF;2.952;2.952;2.691
BH2;2.833;3.021;2.917
BH3;2.731;2.731;2.100
C2H;3.024;3.024;3.875
CH2-t;2.107;2.302;2.022
ClF;2.357;2.357;3.339
CO;1.754;1.754;2.285
CS;3.511;3.511;5.618
H;0.667;0.667;0.667
H2;0.678;0.678;0.949
H2O;1.362;1.462;1.406
HBO;2.104;2.104;3.175
HCl;2.462;2.462;2.712
HCN;2.063;2.063;3.299
He;0.205;0.205;0.205
HF;0.759;0.759;0.934
HNC;2.314;2.314;3.480
Li;24.362;24.362;24.362
N;1.076;1.076;1.076
N2;1.508;1.508;2.187
Ne;0.391;0.391;0.391
NH;1.329;1.329;1.699
NH2;1.572;1.863;1.921
NO;1.489;1.489;2.194
O2;1.211;1.211;2.264
OCl;2.419;2.419;4.175
OF;1.091;1.091;2.033
OH;1.109;1.109;1.259
P;3.709;3.709;3.709
PH;3.910;3.910;4.369
PH2;4.085;4.414;4.502
SF;3.199;3.199;3.608
SH;3.448;3.448;3.455
SH2;3.646;3.575;3.563