,direction,energy,field,filename,functional,molecule,no_scf_cycles,u_x,u_y,u_z,walltime
0,x,-174.806096734149,-0.001,of_pbe_-0001_x.out,pbe,of,13,-0.00799,-0.00000,0.07624,278.531
1,y,-129.825626872437,-0.001,no_pbe_-0001_y.out,pbe,no,11,0.00000,-0.01133,0.09023,266.124
2,non,-467.612388473118,0,licl_pbe_00.out,pbe,licl,13,-0.00000,-0.00000,-2.69267,176.047
3,x,-176.102967526287,-0.001,fh-oh_pbe_-0001_x.out,pbe,fh-oh,13,0.63079,0.00000,-1.11049,1063.479
4,y,-176.103611560584,-0.001,fh-oh_pbe_-0001_y.out,pbe,fh-oh,17,0.64507,-0.01220,-1.11204,1526.249
5,non,-535.119896816343,0,ocl_pbe_00.out,pbe,ocl,15,0.00000,-0.00000,0.52863,426.465
6,x,-129.825626872436,-0.001,no_pbe_-0001_x.out,pbe,no,11,-0.01133,0.00000,0.09023,265.53
7,z,-858.050653921582,-0.001,scl_pbe_-0001_z.out,pbe,scl,13,-0.00000,-0.00000,0.01948,478.209
8,y,-174.806096734146,-0.001,of_pbe_-0001_y.out,pbe,of,13,-0.00000,-0.00799,0.07624,280.818
9,non,-174.80609274074,0,of_pbe_00.out,pbe,of,13,-0.00000,-0.00000,0.07624,282.292
10,non,-254.972214258693,0,nacn_pbe_00.out,pbe,nacn,15,-1.77401,-2.86468,-0.00000,938.349
11,x,-858.050713459955,-0.001,scl_pbe_-0001_x.out,pbe,scl,15,-0.02902,-0.00000,0.07061,536.221
12,z,-129.82553908951,-0.001,no_pbe_-0001_z.out,pbe,no,14,0.00000,0.00000,0.07404,311.019
13,z,-176.10472940229,-0.001,fh-oh_pbe_-0001_z.out,pbe,fh-oh,13,0.64656,0.00000,-1.13565,1065.375
14,y,-858.050713459959,-0.001,scl_pbe_-0001_y.out,pbe,scl,15,-0.00000,-0.02902,0.07061,536.341
15,z,-174.806023781859,-0.001,of_pbe_-0001_z.out,pbe,of,13,-0.00000,-0.00000,0.06168,279.011
16,y,-176.103611560586,+0.001,fh-oh_pbe_+0001_y.out,pbe,fh-oh,17,0.64507,0.01220,-1.11204,1526.243
17,x,-129.825626872436,+0.001,no_pbe_+0001_x.out,pbe,no,11,0.01133,-0.00000,0.09023,266.58
18,y,-174.806096734146,+0.001,of_pbe_+0001_y.out,pbe,of,13,0.00000,0.00799,0.07624,280.339
19,z,-858.050795147937,+0.001,scl_pbe_+0001_z.out,pbe,scl,14,0.00000,-0.00000,0.12181,584.736
20,x,-174.806096734147,+0.001,of_pbe_+0001_x.out,pbe,of,13,0.00799,0.00000,0.07624,278.7
21,y,-129.825626872438,+0.001,no_pbe_+0001_y.out,pbe,no,11,-0.00000,0.01133,0.09023,284.361
22,non,-150.841445138434,0,ho2_pbe_00.out,pbe,ho2,14,-0.63815,-0.59126,-0.00000,713.423
23,x,-176.104257667537,+0.001,fh-oh_pbe_+0001_x.out,pbe,fh-oh,13,0.65934,0.00000,-1.11359,1066.884
24,non,-7.462149961689,0,li_pbe_00.out,pbe,li,7,-0.00000,-0.00000,-0.00000,5.357
25,non,-129.825621208861,0,no_pbe_00.out,pbe,no,11,0.00000,-0.00000,0.09021,266.109
26,z,-176.102505706912,+0.001,fh-oh_pbe_+0001_z.out,pbe,fh-oh,13,0.64345,0.00000,-1.08723,1088.268
27,z,-174.806176273508,+0.001,of_pbe_+0001_z.out,pbe,of,13,-0.00000,-0.00000,0.09083,278.331
28,y,-858.050713459961,+0.001,scl_pbe_+0001_y.out,pbe,scl,15,0.00000,0.02902,0.07061,536.324
29,x,-858.050713459958,+0.001,scl_pbe_+0001_x.out,pbe,scl,15,0.02902,0.00000,0.07061,533.175
30,z,-129.825719494804,+0.001,no_pbe_+0001_z.out,pbe,no,13,-0.00000,0.00000,0.10638,299.783
31,x,-467.612402908014,-0.001,licl_pbe_-0001_x.out,pbe,licl,14,-0.02887,-0.00000,-2.69260,213.251
32,z,-535.119382715147,-0.001,ocl_pbe_-0001_z.out,pbe,ocl,15,-0.00000,-0.00000,0.49956,496.836
33,x,-622.297196578077,-0.001,nacl_pbe_-0001_x.out,pbe,nacl,17,-0.03277,-0.00000,-3.34017,246.654
34,x,-150.8420897686,-0.001,ho2_pbe_-0001_x.out,pbe,ho2,14,-0.65110,-0.59281,-0.00000,690.027
35,non,-622.297180193095,0,nacl_pbe_00.out,pbe,nacl,17,-0.00000,-0.00000,-3.34028,246.472
36,z,-75.689597737158,+0.001,oh_pbe_+0001_z.out,pbe,oh,11,0.00000,0.00000,-0.61800,88.601
37,y,-150.842045972476,-0.001,ho2_pbe_-0001_y.out,pbe,ho2,14,-0.63969,-0.61041,-0.00000,722.58
38,y,-622.297196578076,-0.001,nacl_pbe_-0001_y.out,pbe,nacl,17,0.00000,-0.03277,-3.34017,246.233
39,non,-100.284847221319,0,licn_pbe_00.out,pbe,licn,13,2.50584,-0.95531,0.00000,791.616
40,y,-467.61240290802,-0.001,licl_pbe_-0001_y.out,pbe,licl,14,0.00000,-0.02887,-2.69260,190.175
41,y,-535.119905362897,-0.001,ocl_pbe_-0001_y.out,pbe,ocl,15,-0.00000,-0.01709,0.52862,427.875
42,x,-75.690223820904,+0.001,oh_pbe_+0001_x.out,pbe,oh,10,0.00687,-0.00000,-0.62729,84.428
43,y,-75.690223820903,+0.001,oh_pbe_+0001_y.out,pbe,oh,10,-0.00000,0.00687,-0.62729,85.081
44,z,-150.841450439845,-0.001,ho2_pbe_-0001_z.out,pbe,ho2,13,-0.63815,-0.59126,-0.01060,661.661
45,z,-622.30054283849,-0.001,nacl_pbe_-0001_z.out,pbe,nacl,17,-0.00000,0.00000,-3.38482,247.579
46,x,-535.119905362898,-0.001,ocl_pbe_-0001_x.out,pbe,ocl,15,-0.01709,-0.00000,0.52862,425.698
47,z,-467.61509660812,-0.001,licl_pbe_-0001_z.out,pbe,licl,13,-0.00000,0.00000,-2.72356,174.976
48,y,-150.840863457263,+0.001,ho2_pbe_+0001_y.out,pbe,ho2,13,-0.63659,-0.57211,-0.00000,662.008
49,z,-75.690852317023,-0.001,oh_pbe_-0001_z.out,pbe,oh,11,-0.00000,0.00000,-0.63656,88.436
50,y,-622.297196578075,+0.001,nacl_pbe_+0001_y.out,pbe,nacl,17,-0.00000,0.03277,-3.34017,244.885
51,y,-467.612402908017,+0.001,licl_pbe_+0001_y.out,pbe,licl,14,-0.00000,0.02887,-2.69260,178.7
52,x,-467.612402908017,+0.001,licl_pbe_+0001_x.out,pbe,licl,14,0.02887,-0.00000,-2.69260,213.253
53,z,-535.120439979478,+0.001,ocl_pbe_+0001_z.out,pbe,ocl,15,-0.00000,-0.00000,0.55769,425.006
54,x,-622.297196578071,+0.001,nacl_pbe_+0001_x.out,pbe,nacl,17,0.03277,-0.00000,-3.34017,244.513
55,x,-150.840813466675,+0.001,ho2_pbe_+0001_x.out,pbe,ho2,14,-0.62519,-0.58971,-0.00000,692.403
56,z,-150.841450439846,+0.001,ho2_pbe_+0001_z.out,pbe,ho2,13,-0.63815,-0.59126,0.01060,664.077
57,y,-75.690223820903,-0.001,oh_pbe_-0001_y.out,pbe,oh,10,0.00000,-0.00687,-0.62729,94.455
58,z,-622.293862708148,+0.001,nacl_pbe_+0001_z.out,pbe,nacl,17,-0.00000,-0.00000,-3.29447,245.117
59,x,-535.119905362895,+0.001,ocl_pbe_+0001_x.out,pbe,ocl,15,0.01709,0.00000,0.52862,426.982
60,z,-467.609711339674,+0.001,licl_pbe_+0001_z.out,pbe,licl,13,-0.00000,0.00000,-2.66155,171.76
61,non,-497.780832700326,0,sf_pbe_00.out,pbe,sf,15,-0.00000,0.00000,-0.21339,406.771
62,y,-535.119905362899,+0.001,ocl_pbe_+0001_y.out,pbe,ocl,15,0.00000,0.01709,0.52862,424.478
63,x,-75.690223820904,-0.001,oh_pbe_-0001_x.out,pbe,oh,10,-0.00687,0.00000,-0.62729,86.121
64,y,-254.975095741395,-0.001,nacn_pbe_-0001_y.out,pbe,nacn,15,-1.77523,-2.89819,-0.00000,941.974
65,y,-100.285816579942,-0.001,licn_pbe_-0001_y.out,pbe,licn,13,2.50410,-0.98339,0.00000,790.496
66,x,-100.28235564433,-0.001,licn_pbe_-0001_x.out,pbe,licn,13,2.47727,-0.95697,0.00000,791.091
67,z,-79.344503974482,-0.001,bn_pbe_-0001_z.out,pbe,bn,16,0.00000,0.00000,-0.77405,371.301
68,x,-254.974005493188,-0.001,nacn_pbe_-0001_x.out,pbe,nacn,15,-1.80843,-2.86590,-0.00000,957.628
69,z,-254.972227214493,-0.001,nacn_pbe_-0001_z.out,pbe,nacn,15,-1.77399,-2.86462,-0.02591,936.723
70,x,-79.343756514301,-0.001,bn_pbe_-0001_x.out,pbe,bn,17,-0.02278,0.00000,-0.74356,398.127
71,z,-100.28485875728,-0.001,licn_pbe_-0001_z.out,pbe,licn,13,2.50581,-0.95529,-0.02307,812.272
72,y,-79.343756514301,-0.001,bn_pbe_-0001_y.out,pbe,bn,17,0.00000,-0.02278,-0.74356,398.124
73,z,-79.343016823741,+0.001,bn_pbe_+0001_z.out,pbe,bn,16,0.00000,0.00000,-0.71294,371.567
74,x,-100.287367252287,+0.001,licn_pbe_+0001_x.out,pbe,licn,13,2.53418,-0.95356,-0.00000,787.201
75,x,-254.970457547168,+0.001,nacn_pbe_+0001_x.out,pbe,nacn,15,-1.73937,-2.86324,-0.00000,936.448
76,y,-254.96936658354,+0.001,nacn_pbe_+0001_y.out,pbe,nacn,16,-1.77257,-2.83056,-0.00000,998.812
77,y,-100.283905999974,+0.001,licn_pbe_+0001_y.out,pbe,licn,13,2.50752,-0.92712,-0.00000,791.148
78,y,-79.343756514301,+0.001,bn_pbe_+0001_y.out,pbe,bn,17,-0.00000,0.02278,-0.74356,382.703
79,non,-79.343745123056,0,bn_pbe_00.out,pbe,bn,16,-0.00000,0.00000,-0.74361,364.83
80,z,-254.972227214494,+0.001,nacn_pbe_+0001_z.out,pbe,nacn,15,-1.77399,-2.86462,0.02591,937.711
81,z,-100.284858757281,+0.001,licn_pbe_+0001_z.out,pbe,licn,13,2.50581,-0.95529,0.02307,813.338
82,x,-79.343756514302,+0.001,bn_pbe_+0001_x.out,pbe,bn,17,0.02278,-0.00000,-0.74356,398.122
83,x,-497.780843071232,-0.001,sf_pbe_-0001_x.out,pbe,sf,15,-0.02074,0.00000,-0.21337,407.677
84,y,-7.462220881752,-0.001,li_pbe_-0001_y.out,pbe,li,7,-0.00000,-0.14191,-0.00000,5.435
85,x,-7.462220881752,-0.001,li_pbe_-0001_x.out,pbe,li,7,-0.14191,-0.00000,-0.00000,8.446
86,y,-497.780843071232,-0.001,sf_pbe_-0001_y.out,pbe,sf,15,-0.00000,-0.02074,-0.21337,409.401
87,non,-858.050698951059,0,scl_pbe_00.out,pbe,scl,14,0.00000,-0.00000,0.07059,510.474
88,z,-7.462220881753,-0.001,li_pbe_-0001_z.out,pbe,li,7,-0.00000,-0.00000,-0.14191,6.808
89,z,-497.781058996945,-0.001,sf_pbe_-0001_z.out,pbe,sf,15,-0.00000,0.00000,-0.23919,410.339
90,x,-7.462220881753,+0.001,li_pbe_+0001_x.out,pbe,li,7,0.14191,-0.00000,-0.00000,6.224
91,y,-497.780843071234,+0.001,sf_pbe_+0001_y.out,pbe,sf,15,0.00000,0.02074,-0.21337,409.489
92,x,-497.780843071231,+0.001,sf_pbe_+0001_x.out,pbe,sf,15,0.02074,0.00000,-0.21337,409.644
93,y,-7.462220881753,+0.001,li_pbe_+0001_y.out,pbe,li,7,0.00000,0.14191,-0.00000,14.685
94,non,-75.69022038736,0,oh_pbe_00.out,pbe,oh,11,0.00000,0.00000,-0.62729,99.4
95,z,-497.7806322458,+0.001,sf_pbe_+0001_z.out,pbe,sf,15,0.00000,0.00000,-0.18750,408.673
96,non,-176.103605459519,0,fh-oh_pbe_00.out,pbe,fh-oh,13,0.64507,0.00000,-1.11205,1087.728
97,z,-7.462220881754,+0.001,li_pbe_+0001_z.out,pbe,li,7,-0.00000,-0.00000,0.14191,5.116
